[Year],[Month],[geo],[GeoName],[COICOP],[COICOP_Name],[Value]
2017,9,EU27_2020,EU,CP11,Restaurants & hotels,105.21
2017,10,EU27_2020,EU,CP00,All-items HICP,102.29
2017,10,EU27_2020,EU,CP01,Food & non-alcoholic beverages,103.05
2017,10,EU27_2020,EU,CP03,Clothing & footwear,105.37
2017,10,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",101.45
2017,10,EU27_2020,EU,CP05,Furnishings & household equipment,100.41
2017,10,EU27_2020,EU,CP07,Transport,101.42
2017,10,EU27_2020,EU,CP10,Education,100.16
2017,10,EU27_2020,EU,CP11,Restaurants & hotels,104.82
2017,11,EU27_2020,EU,CP00,All-items HICP,102.17
2017,11,EU27_2020,EU,CP01,Food & non-alcoholic beverages,103.3
2017,11,EU27_2020,EU,CP03,Clothing & footwear,105.73
2017,11,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",101.8
2017,11,EU27_2020,EU,CP05,Furnishings & household equipment,100.5
2017,11,EU27_2020,EU,CP07,Transport,101.85
2017,11,EU27_2020,EU,CP10,Education,100.2
2017,11,EU27_2020,EU,CP11,Restaurants & hotels,103.54
2017,12,EU27_2020,EU,CP00,All-items HICP,102.49
2017,12,EU27_2020,EU,CP01,Food & non-alcoholic beverages,103.56
2017,12,EU27_2020,EU,CP03,Clothing & footwear,104.76
2017,12,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",101.93
2017,12,EU27_2020,EU,CP05,Furnishings & household equipment,100.54
2017,12,EU27_2020,EU,CP07,Transport,102.53
2017,12,EU27_2020,EU,CP10,Education,100.22
2017,12,EU27_2020,EU,CP11,Restaurants & hotels,103.77
2018,1,EU27_2020,EU,CP00,All-items HICP,101.75
2018,1,EU27_2020,EU,CP01,Food & non-alcoholic beverages,104.22
2018,1,EU27_2020,EU,CP03,Clothing & footwear,91.33
2018,1,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",102.61
2018,1,EU27_2020,EU,CP05,Furnishings & household equipment,100.2
2018,1,EU27_2020,EU,CP07,Transport,102.54
2018,1,EU27_2020,EU,CP10,Education,100.56
2018,1,EU27_2020,EU,CP11,Restaurants & hotels,103.78
2018,2,EU27_2020,EU,CP00,All-items HICP,101.94
